用户ID,Top10推荐视频ID,对应推荐概率
user_001,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_003,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_010,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_012,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_016,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_019,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_023,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_031,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_034,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_040,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_047,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_056,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_064,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_069,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_070,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_071,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_073,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_074,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_076,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_077,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
