Precision@10,Recall@10,F1-Score@10,Global Coverage,MRR,Cold Start Precision@10,特征权重组合,多样性比例
0.408,0.1824,0.2466,0.0384,0.5324,0,权重组合1（原版）,0.0
0.368,0.1652,0.2231,0.0365,0.5294,0,权重组合1（原版）,0.1
0.334,0.1491,0.2017,0.0345,0.5294,0,权重组合1（原版）,0.2
0.291,0.1301,0.1759,0.0326,0.5257,0,权重组合1（原版）,0.3
0.251,0.1117,0.1512,0.0298,0.5257,0,权重组合1（原版）,0.4
0.408,0.1824,0.2466,0.0384,0.5324,0,权重组合2（偏好优先）,0.0
0.368,0.1652,0.2231,0.0365,0.5294,0,权重组合2（偏好优先）,0.1
0.334,0.1491,0.2017,0.0345,0.5294,0,权重组合2（偏好优先）,0.2
0.291,0.1301,0.1759,0.0326,0.5257,0,权重组合2（偏好优先）,0.3
0.251,0.1117,0.1512,0.0298,0.5257,0,权重组合2（偏好优先）,0.4
0.408,0.1824,0.2466,0.0384,0.5324,0,权重组合3（质量优先）,0.0
0.368,0.1652,0.2231,0.0365,0.5294,0,权重组合3（质量优先）,0.1
0.334,0.1491,0.2017,0.0345,0.5294,0,权重组合3（质量优先）,0.2
0.291,0.1301,0.1759,0.0326,0.5257,0,权重组合3（质量优先）,0.3
0.251,0.1117,0.1512,0.0298,0.5257,0,权重组合3（质量优先）,0.4
