user_id,recommend_video_ids
user_001,"4928945699618877,5177056850280469,4944519221936140,5198909388292249,5041868329910287,5124890362314760,5204721338875998,4964426835755030,5127895526604864,4944503371399206"
user_003,"5245734526582800,5255777905213512,5177056850280469,4925285896749098,4944519221936140,4939295136350229,5090409471213592,4944503371399206,4941224184840244,5041868329910287"
user_010,"5090409471213592,4941224184840244,4966631055491146,5169502724489229,5072437117911043,4939307291705367,4964801013809168,5168451984228386,5167712163528735,5045464777555983"
user_012,"4978817618608153,5040188041134112,5090798115684389,5045464777555983,5207841842069549,4954817538228252,4930971363901512,4966631055491146,5124890362314760,4926372305371168"
user_016,"4941224184840244,5198909388292249,5072437117911043,5219064952586295,5127895526604864,4925285896749098,5152086778642448,5032569612468284,5255777905213512,5246407221641294"
user_019,"4941224184840244,5198909388292249,5072437117911043,5219064952586295,5127895526604864,4925285896749098,5152086778642448,5032569612468284,5255777905213512,5246407221641294"
user_023,"4939295136350229,4941224184840244,5233226357080074,5204721338875998,4951418646233173,4964053676916804,5193748536033294,4925285896749098,5215927093100566,5047385978765339"
user_031,"5183662912897092,5204721338875998,5056010575085594,5128531869630515,4967631594127412,4930971363901512,4941224184840244,5215927093100566,5230073889095715,5215660800671808"
user_034,"5041868329910287,5177902275428368,5154197155545108,4949224450883647,5174569821208682,5259312390406147,5090988335497267,5245734526582800,5177056850280469,5045464416845881"
user_040,"4948019443859487,4964053676916804,4928945699618877,4962520545558612,5174569821208682,5242633392422925,5206015743033440,4936804713824269,5215927093100566,5177902275428368"
user_047,"4944519221936140,4970935464427558,5090409471213592,4944503371399206,4975662344110136,5204054704324684,5245734526582800,5212349842522147,4936804713824269,5128916646428710"
user_056,"4964053676916804,4948019443859487,5174569821208682,4981409891418135,5041868329910287,5245734526582800,5215927093100566,5177902275428368,5207608139907103,5177056850280469"
user_064,"5140781602635833,4970935464427558,5090409471213592,5147085243351058,5101324929531948,4975662344110136,4979668835565572,4979713605828611,5168451984228386,4939295136350229"
user_069,"4928945699618877,5245734526582800,5177902275428368,5041868329910287,5233226357080074,4964053676916804,5215927093100566,5204721338875998,5101324929531948,5090988335497267"
user_070,"5090409471213592,5147085243351058,4967631594127412,4925285896749098,4950932014694458,5128531869630515,5168451984228386,4939295136350229,5230073889095715,5045464777555983"
user_071,"5177902275428368,5117732442538055,5242633392422925,4964426835755030,5174569821208682,4925285896749098,4944503371399206,4982452981268514,4955645892558851,4979396151541812"
user_073,"5090409471213592,4941224184840244,5233226357080074,4948019443859487,4978236107718748,5168451984228386,4939295136350229,5183662912897092,5206015743033440,5074157142999052"
user_074,"5041868329910287,5177902275428368,5154197155545108,4949224450883647,5174569821208682,5259312390406147,5090988335497267,5245734526582800,5177056850280469,5051054224769076"
user_076,"5090409471213592,4941224184840244,5169502724489229,5072437117911043,4939307291705367,4964801013809168,5168451984228386,5167712163528735,5045464777555983,5230073889095715"
user_077,"5233226357080074,4948019443859487,5090798115684389,4928945699618877,4932428217909255,5124890362314760,4939302141100058,5174569821208682,4964053676916804,5206015743033440"
user_078,"4982452981268514,4964426835755030,4944503371399206,4979668835565572,4955645892558851,5128916646428710,5152177942102028,4963338174529596,5051054224769076,4944519221936140"
user_079,"5090409471213592,5147085243351058,4967631594127412,4925285896749098,4950932014694458,5168451984228386,4939295136350229,5230073889095715,5045464777555983,4979396151541812"
user_080,"5242633392422925,5134741406679061,4970935464427558,4979668835565572,4981409891418135,5090409471213592,4932428217909255,4953193923412049,5090798115684389,4979396151541812"
user_083,"4964053676916804,4970935464427558,4928945699618877,5183662912897092,4981409891418135,5215927093100566,5245734526582800,5207608139907103,5204721338875998,4979668835565572"
user_085,"5198909388292249,5044868385538110,5090798115684389,4981409891418135,5127895526604864,5174569821208682,4925285896749098,5134741406679061,5152177942102028,4953193923412049"
user_087,"5041868329910287,5245734526582800,5124890362314760,4948019443859487,4979668835565572,5090409471213592,5259312390406147,5168451984228386,4939295136350229,5090988335497267"
user_091,"5072437117911043,5134741406679061,5056010575085594,5055334553681970,5101324929531948,5090798115684389,5245734526582800,5147085243351058,5047287483662403,5123862942384149"
user_094,"4944519221936140,4944503371399206,4964426835755030,5094900136607779,4930971363901512,5056010575085594,4957906085281878,4928945699618877,5246058586898496,5242633392422925"
user_102,"4948019443859487,5072437117911043,5101324929531948,4981409891418135,5174569821208682,5055334553681970,5169502724489229,5207608139907103,4964426835755030,4982452981268514"
user_105,"5072437117911043,5056010575085594,5174887816298530,5256017466818569,5246058586898496,5124890362314760,5047385978765339,5245734526582800,5255777905213512,5204009250652168"
user_125,"4941224184840244,5090409471213592,5204721338875998,4951418646233173,4964053676916804,5193748536033294,4925285896749098,5047385978765339,5101324929531948,4962520545558612"
user_132,"5196367170306115,5110483100041245,5199475707150346,5101091843670054,5033652644413490,5201836291063882,5200695377199161,5162361925861432,5110469564760071,5110495490015270"
user_149,"5078610160058414,5155285300346914,5161893489213476,5085425660788746,5068452998610981,5179921425956938,5196048298344547,5106547282346045,5192632201314437,5162361925861432"
user_155,"5199160916246536,5068452998610981,5162373145624596,4933513280159753,5101794557362210,5110495490015270,5235869620305971,5110469564760071,5167243445600283,5192632201314437"
user_156,"4822682471170119,5235912129577108,5068452998610981,5067680378716197,5085425660788746,5250043062714494,5164078587379741,5200313028640790,5198841050234897,5110495490015270"
user_173,"4931479210491979,5188256120373305,5204342796910688,5201836630540319,4971324880388125,5244480417366020,5068452998610981,5187913537749035,5192436864188696,5104429981171726"
user_174,"5196367170306115,5110483100041245,5199475707150346,5066869128757286,5033652644413490,5201836291063882,5200695377199161,5162361925861432,5110469564760071,5110495490015270"
user_181,"5085411874111531,4932531833733136,5187722764288117,5033652644413490,5188256120373305,5200695377199161,4604459066785805,5185440358006815,5162361925861432,5110495490015270"
user_183,"5201377757167681,4933258329128991,5068452998610981,5102010056245270,5196367170306115,5187722764288117,5192432694788214,5078610160058414,5156876854427742,4632858942439514"
user_186,"4604459066785805,4822682471170119,5241343320981577,5204342796910688,5193069218431100,5085430509404163,4969174813048882,5188256120373305,5085426197921801,5094438418972741"
user_194,"4931479210491979,5066869128757286,4969403100364821,5105391835742238,5085426197921801,5102010056245270,5241343320981577,5104250032685079,5085414952730701,5110490683080709"
user_195,"5235912129577108,5085425660788746,5199475707150346,5110495490015270,5198166060892225,5192418039890093,5185150334468222,5085414952730701,5185440358006815,5163480328896526"
user_205,"5104062031396879,5162361925861432,5068408631525452,4933171871940652,5066869128757286,5187722764288117,5085425660788746,5202900432125963,5202893956120623,5162380016156677"
user_210,"4931479210491979,4961884454191118,5179921425956938,4822682471170119,5085430509404163,5110495490015270,5164078587379741,5204342796910688,5244480417366020,5199475707150346"
user_212,"5200695377199161,5201836291063882,5193069218431100,5179921425956938,5159706428375088,5033651772260380,5171355461812260,4604459066785805,5198826282090528,5162375519862904"
user_239,"5198166060892225,4604459066785805,5235912129577108,5162361925861432,5085411874111531,5104062031396879,5200673902624958,5187562084433971,5192418039890093,5106892444467222"
user_263,"5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103,5145867431116881,5216002871328773"
user_269,"5026409962209334,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103,5145867431116881"
user_278,"5116623435268114,5114447312650295,5112532830978104,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796"
user_279,"5246758398132259,5026409962209334,5215954519392260,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796"
user_281,"5035114619404345,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103,5145867431116881"
user_291,"4797413282742404,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103,5145867431116881"
user_305,"5112532830978104,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103,5145867431116881"
user_313,"5120599727472664,5121342379327540,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103"
user_317,"5128948309491745,5039103981322244,5249134521679881,5052241984290830,5050232929452092,5040427372576796,5216002871328773,5026395403780135,5049645823623175,5050261572616242"
