user_id,video_unique_id,behavior_type,behavior_time,content_category,behavior_weight,behavior_weekday,behavior_day_of_month,user_active_days,total_behavior_count,total_behavior_weight,user_cate_prefer_score
user_002,5204401929781269,观看,2026-01-21,其他,0.1,3,21,9,9,1.8,1.8
user_002,4981467701248070,观看,2026-01-24,其他,0.1,6,24,9,9,1.8,1.8
user_002,5177183115608236,观看,2026-01-17,其他,0.1,6,17,9,9,1.8,1.8
user_002,5182205778133045,观看,2026-02-01,其他,0.1,7,1,9,9,1.8,1.8
user_002,5207841842069549,收藏,2026-01-29,其他,1.0,4,29,9,9,1.8,1.8
user_002,5090179808165935,观看,2026-02-02,其他,0.1,1,2,9,9,1.8,1.8
user_002,5072437117911043,观看,2026-02-04,其他,0.1,3,4,9,9,1.8,1.8
user_002,5216324348215310,观看,2026-02-09,其他,0.1,1,9,9,9,1.8,1.8
user_002,4950932014694458,观看,2026-02-05,其他,0.1,4,5,9,9,1.8,1.8
user_004,5152177942102028,观看,2026-01-19,其他,0.1,1,19,9,9,2.2,2.2
user_004,4953956628234289,点赞,2026-02-04,其他,0.5,3,4,9,9,2.2,2.2
user_004,5128546595831818,观看,2026-01-28,其他,0.1,3,28,9,9,2.2,2.2
user_004,4928945699618877,收藏,2026-01-16,其他,1.0,5,16,9,9,2.2,2.2
user_004,5245734526582800,观看,2026-02-12,其他,0.1,4,12,9,9,2.2,2.2
user_004,5204042037788800,观看,2026-01-21,其他,0.1,3,21,9,9,2.2,2.2
user_004,5074173618225287,观看,2026-02-06,其他,0.1,5,6,9,9,2.2,2.2
user_004,5213642681942028,观看,2026-02-07,其他,0.1,6,7,9,9,2.2,2.2
user_004,4944503371399206,观看,2026-02-11,其他,0.1,3,11,9,9,2.2,2.2
user_005,4981822174724140,观看,2026-01-29,其他,0.1,4,29,8,9,4.4,4.4
user_005,5256017466818569,收藏,2026-02-06,其他,1.0,5,6,8,9,4.4,4.4
user_005,5207259731394617,观看,2026-01-14,其他,0.1,3,14,8,9,4.4,4.4
user_005,4929279952355395,观看,2026-01-14,其他,0.1,3,14,8,9,4.4,4.4
user_005,5172707092791340,点赞,2026-02-01,其他,0.5,7,1,8,9,4.4,4.4
user_005,5209447534886925,收藏,2026-01-19,其他,1.0,1,19,8,9,4.4,4.4
user_005,5202195889717267,收藏,2026-02-04,其他,1.0,3,4,8,9,4.4,4.4
user_005,5246447218524200,观看,2026-02-11,其他,0.1,3,11,8,9,4.4,4.4
user_005,5124890362314760,点赞,2026-01-17,其他,0.5,6,17,8,9,4.4,4.4
user_006,4964088900681731,观看,2026-02-10,其他,0.1,2,10,10,11,2.4,2.4
user_006,4951418646233173,点赞,2026-01-22,其他,0.5,4,22,10,11,2.4,2.4
user_006,5222814878466056,观看,2026-02-09,其他,0.1,1,9,10,11,2.4,2.4
user_006,4941557200257134,观看,2026-01-14,其他,0.1,3,14,10,11,2.4,2.4
user_006,4982800273571862,观看,2026-01-16,其他,0.1,5,16,10,11,2.4,2.4
user_006,5193748536033294,观看,2026-02-11,其他,0.1,3,11,10,11,2.4,2.4
user_006,4938343100907539,收藏,2026-01-25,其他,1.0,7,25,10,11,2.4,2.4
user_006,5179233706639368,观看,2026-02-01,其他,0.1,7,1,10,11,2.4,2.4
user_006,5111603700367368,观看,2026-01-27,其他,0.1,2,27,10,11,2.4,2.4
user_006,5111940335206439,观看,2026-02-02,其他,0.1,1,2,10,11,2.4,2.4
user_006,5246011606499342,观看,2026-02-09,其他,0.1,1,9,10,11,2.4,2.4
user_007,4964053676916804,点赞,2026-01-21,其他,0.5,3,21,8,8,2.4,2.4
user_007,5205658220560520,观看,2026-02-08,其他,0.1,7,8,8,8,2.4,2.4
user_007,4978172601499672,观看,2026-02-01,其他,0.1,7,1,8,8,2.4,2.4
user_007,4979906753527867,观看,2026-01-14,其他,0.1,3,14,8,8,2.4,2.4
user_007,5227405611040796,点赞,2026-02-03,其他,0.5,2,3,8,8,2.4,2.4
user_007,5167056769974300,点赞,2026-01-25,其他,0.5,7,25,8,8,2.4,2.4
user_007,4695816603107409,点赞,2026-02-04,其他,0.5,3,4,8,8,2.4,2.4
user_007,4978236107718748,观看,2026-02-05,其他,0.1,4,5,8,8,2.4,2.4
user_008,4955645892558851,观看,2026-02-12,其他,0.1,4,12,10,14,2.2,2.2
user_008,5242250624696364,观看,2026-02-07,其他,0.1,6,7,10,14,2.2,2.2
user_008,4955645892558851,点赞,2026-01-15,其他,0.5,4,15,10,14,2.2,2.2
user_008,5128916646428710,观看,2026-02-05,其他,0.1,4,5,10,14,2.2,2.2
user_008,5125005109821509,观看,2026-02-06,其他,0.1,5,6,10,14,2.2,2.2
user_008,5048382436081728,观看,2026-01-18,其他,0.1,7,18,10,14,2.2,2.2
user_008,4982452981268514,观看,2026-02-06,其他,0.1,5,6,10,14,2.2,2.2
user_008,4957055245549663,观看,2026-01-31,其他,0.1,6,31,10,14,2.2,2.2
user_008,5195637335982105,点赞,2026-02-02,其他,0.5,1,2,10,14,2.2,2.2
user_008,5216324348215310,观看,2026-01-22,其他,0.1,4,22,10,14,2.2,2.2
user_008,5236106417864754,观看,2026-01-22,其他,0.1,4,22,10,14,2.2,2.2
user_008,4930245803835424,观看,2026-02-05,其他,0.1,4,5,10,14,2.2,2.2
user_008,4945585703157778,观看,2026-01-22,其他,0.1,4,22,10,14,2.2,2.2
user_008,5247353699893310,观看,2026-02-11,其他,0.1,3,11,10,14,2.2,2.2
user_009,4981467701248070,观看,2026-01-15,其他,0.1,4,15,6,7,1.1,1.1
user_009,4954817538228252,观看,2026-01-20,其他,0.1,2,20,6,7,1.1,1.1
user_009,5055798875979793,点赞,2026-01-30,其他,0.5,5,30,6,7,1.1,1.1
user_009,5204020931788876,观看,2026-02-09,其他,0.1,1,9,6,7,1.1,1.1
user_009,5148480004358146,观看,2026-02-01,其他,0.1,7,1,6,7,1.1,1.1
user_009,5209804533334039,观看,2026-02-09,其他,0.1,1,9,6,7,1.1,1.1
user_009,5093858921349158,观看,2026-02-11,其他,0.1,3,11,6,7,1.1,1.1
user_011,5128531869630515,观看,2026-01-14,其他,0.1,3,14,9,9,1.8,1.8
user_011,5255307668946956,观看,2026-02-02,其他,0.1,1,2,9,9,1.8,1.8
user_011,5197335186047035,观看,2026-01-23,其他,0.1,5,23,9,9,1.8,1.8
user_011,5081861999755385,观看,2026-02-05,其他,0.1,4,5,9,9,1.8,1.8
