user_id,video_id,lgb_score
user_001,4882546576785591,1.0
user_001,4880019307298828,0.4203
user_001,5164078587379741,0.3965
user_001,4982593754693743,0.185
user_001,4964832915685416,0.1577
user_001,4981433215942684,0.14
user_001,4840167186563110,0.0467
user_001,4822682471170119,0.0294
user_001,4783867228520563,0.0221
user_001,4939291168538684,0.0219
user_003,4882546576785591,1.0
user_003,4880019307298828,0.4203
user_003,5164078587379741,0.3965
user_003,4982593754693743,0.185
user_003,4964832915685416,0.1577
user_003,4981433215942684,0.14
user_003,4840167186563110,0.0467
user_003,4822682471170119,0.0294
user_003,4783867228520563,0.0221
user_003,4939291168538684,0.0219
user_010,4882546576785591,1.0
user_010,4880019307298828,0.4203
user_010,5164078587379741,0.3965
user_010,4982593754693743,0.185
user_010,4964832915685416,0.1577
user_010,4981433215942684,0.14
user_010,4840167186563110,0.0467
user_010,4822682471170119,0.0294
user_010,4783867228520563,0.0221
user_010,4939291168538684,0.0219
user_012,4882546576785591,1.0
user_012,4880019307298828,0.4203
user_012,5164078587379741,0.3965
user_012,4982593754693743,0.185
user_012,4964832915685416,0.1577
user_012,4981433215942684,0.14
user_012,4840167186563110,0.0467
user_012,4822682471170119,0.0294
user_012,4783867228520563,0.0221
user_012,4939291168538684,0.0219
user_016,4882546576785591,1.0
user_016,4880019307298828,0.4203
user_016,5164078587379741,0.3965
user_016,4982593754693743,0.185
user_016,4964832915685416,0.1577
user_016,4981433215942684,0.14
user_016,4840167186563110,0.0467
user_016,4822682471170119,0.0294
user_016,4783867228520563,0.0221
user_016,4939291168538684,0.0219
user_019,4882546576785591,1.0
user_019,4880019307298828,0.4203
user_019,5164078587379741,0.3965
user_019,4982593754693743,0.185
user_019,4964832915685416,0.1577
user_019,4981433215942684,0.14
user_019,4840167186563110,0.0467
user_019,4822682471170119,0.0294
user_019,4783867228520563,0.0221
user_019,4939291168538684,0.0219
user_023,4882546576785591,1.0
user_023,4880019307298828,0.4203
user_023,5164078587379741,0.3965
user_023,4982593754693743,0.185
user_023,4964832915685416,0.1577
user_023,4981433215942684,0.14
user_023,4840167186563110,0.0467
user_023,4822682471170119,0.0294
user_023,4783867228520563,0.0221
user_023,4939291168538684,0.0219
user_031,4882546576785591,1.0
user_031,4880019307298828,0.4203
user_031,5164078587379741,0.3965
user_031,4982593754693743,0.185
user_031,4964832915685416,0.1577
user_031,4981433215942684,0.14
user_031,4840167186563110,0.0467
user_031,4822682471170119,0.0294
user_031,4783867228520563,0.0221
user_031,4939291168538684,0.0219
user_034,4882546576785591,1.0
user_034,4880019307298828,0.4203
user_034,5164078587379741,0.3965
user_034,4982593754693743,0.185
user_034,4964832915685416,0.1577
user_034,4981433215942684,0.14
user_034,4840167186563110,0.0467
user_034,4822682471170119,0.0294
user_034,4783867228520563,0.0221
user_034,4939291168538684,0.0219
user_040,4882546576785591,1.0
user_040,4880019307298828,0.4203
user_040,5164078587379741,0.3965
user_040,4982593754693743,0.185
user_040,4964832915685416,0.1577
user_040,4981433215942684,0.14
user_040,4840167186563110,0.0467
user_040,4822682471170119,0.0294
user_040,4783867228520563,0.0221
user_040,4939291168538684,0.0219
user_047,4882546576785591,1.0
user_047,4880019307298828,0.4203
user_047,5164078587379741,0.3965
user_047,4982593754693743,0.185
user_047,4964832915685416,0.1577
user_047,4981433215942684,0.14
user_047,4840167186563110,0.0467
user_047,4822682471170119,0.0294
user_047,4783867228520563,0.0221
user_047,4939291168538684,0.0219
user_056,4882546576785591,1.0
user_056,4880019307298828,0.4203
user_056,5164078587379741,0.3965
user_056,4982593754693743,0.185
user_056,4964832915685416,0.1577
user_056,4981433215942684,0.14
user_056,4840167186563110,0.0467
user_056,4822682471170119,0.0294
user_056,4783867228520563,0.0221
user_056,4939291168538684,0.0219
user_064,4882546576785591,1.0
user_064,4880019307298828,0.4203
user_064,5164078587379741,0.3965
user_064,4982593754693743,0.185
user_064,4964832915685416,0.1577
user_064,4981433215942684,0.14
user_064,4840167186563110,0.0467
user_064,4822682471170119,0.0294
user_064,4783867228520563,0.0221
user_064,4939291168538684,0.0219
user_069,4882546576785591,1.0
user_069,4880019307298828,0.4203
user_069,5164078587379741,0.3965
user_069,4982593754693743,0.185
user_069,4964832915685416,0.1577
user_069,4981433215942684,0.14
user_069,4840167186563110,0.0467
user_069,4822682471170119,0.0294
user_069,4783867228520563,0.0221
user_069,4939291168538684,0.0219
user_070,4882546576785591,1.0
user_070,4880019307298828,0.4203
user_070,5164078587379741,0.3965
user_070,4982593754693743,0.185
user_070,4964832915685416,0.1577
user_070,4981433215942684,0.14
user_070,4840167186563110,0.0467
user_070,4822682471170119,0.0294
user_070,4783867228520563,0.0221
user_070,4939291168538684,0.0219
